----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
21-03 14:03:53| 98   2   1   1   0|2644M  121M 1900k 5036M|  37M    0 
21-03 14:03:54| 98   1   0   0   0|2645M  134M 1888k 5023M|  37M   28k
21-03 14:03:55| 98   1   0   0   0|2644M  132M 1880k 5026M|  37M   31k
21-03 14:03:56| 98   1   1   0   0|2643M  131M 1872k 5027M|  37M   24k
21-03 14:03:57| 97   1   0   1   0|2641M  128M 1864k 5032M|  36M   64k
21-03 14:03:58| 97   2   1   1   0|2639M  128M 1856k 5035M|  37M    0 
21-03 14:03:59| 98   2   1   0   0|2639M  126M 1848k 5037M|  37M   16k
21-03 14:04:00| 98   1   0   0   0|2637M  122M 1840k 5043M|  37M   24k
21-03 14:04:01| 98   2   1   0   0|2638M  123M 1832k 5041M|  37M   12k
21-03 14:04:02| 98   1   0   0   0|2639M  123M 1824k 5040M|  36M    0 
21-03 14:04:03| 98   1   0   0   0|2637M  121M 1824k 5044M|  36M   36k
21-03 14:04:04| 92   2   1   7   0|2639M  125M 1824k 5039M|  35M  106k
21-03 14:04:05| 98   1   0   0   0|2638M  125M 1824k 5039M|  37M   16k
21-03 14:04:06| 97   2   1   1   0|2638M  124M 1824k 5040M|  37M    0 
21-03 14:04:07| 99   1   0   0   0|2639M  122M 1824k 5041M|  37M   16k
21-03 14:04:08| 97   2   0   1   0|2641M  123M 1824k 5038M|  37M   48k
21-03 14:04:09| 98   1   0   0   0|2642M  123M 1824k 5037M|  37M 4096B
21-03 14:04:10| 96   2   0   1   0|2644M  124M 1824k 5034M|  37M  176k
21-03 14:04:11| 98   1   0   0   0|2645M  123M 1824k 5034M|  36M   24k
21-03 14:04:12| 98   1   0   1   0|2647M  126M 1824k 5029M|  37M   36k
21-03 14:04:13| 98   1   1   0   0|2647M  121M 1824k 5034M|  37M   12k
21-03 14:04:14| 97   2   0   1   0|2645M  123M 1824k 5034M|  37M   86k
21-03 14:04:15| 98   1   0   1   0|2641M  126M 1824k 5034M|  37M  456k
21-03 14:04:16| 97   1   1   1   0|2640M  122M 1824k 5040M|  36M 4093B
21-03 14:04:17| 96   1   0   2   0|2638M  122M 1824k 5041M|  37M  109k
21-03 14:04:18| 97   2   1   0   0|2638M  126M 1824k 5038M|  34M 8192B
21-03 14:04:19| 98   2   0   1   0|2638M  124M 1824k 5040M|  36M   16k
21-03 14:04:20| 98   1   0   0   0|2638M  123M 1824k 5041M|  37M   16k
21-03 14:04:21| 98   2   1   1   0|2642M  121M 1824k 5038M|  37M   36k
21-03 14:04:22| 98   2   1   0   0|2644M  125M 1824k 5033M|  37M   28k
21-03 14:04:23| 97   1   0   0   0|2643M  125M 1824k 5034M|  37M    0 
21-03 14:04:24| 98   2   0   0   0|2644M  124M 1824k 5034M|  37M   20k
21-03 14:04:25| 97   1   1   0   0|2644M  126M 1824k 5031M|  37M   40k
21-03 14:04:26| 97   1   0   1   0|2639M  126M 1824k 5037M|  37M 2048B
21-03 14:04:27| 97   1   0   0   0|2638M  123M 1824k 5041M|  37M   24k
21-03 14:04:28| 98   2   1   0   0|2634M  126M 1824k 5042M|  37M   17k
21-03 14:04:29| 98   1   1   0   0|2632M  127M 1824k 5043M|  37M   40k
21-03 14:04:30| 97   2   0   2   0|2631M  126M 1824k 5045M|  37M   16k
21-03 14:04:31| 96   2   1   1   0|2627M  122M 1824k 5052M|  36M    0 
21-03 14:04:32| 97   1   1   1   0|2629M  124M 1824k 5049M|  37M    0 
21-03 14:04:33| 97   2   0   1   0|2627M  126M 1824k 5049M|  37M    0 
21-03 14:04:34| 96   1   1   1   0|2625M  123M 1824k 5054M|  36M   22k
21-03 14:04:35| 97   2   0   0   0|2625M  123M 1824k 5055M|  37M   12k
21-03 14:04:36| 97   2   1   1   0|2626M  121M 1824k 5055M|  36M   20k
21-03 14:04:37| 98   2   0   0   0|2636M  125M 1824k 5041M|  37M   28k
21-03 14:04:38| 97   1   1   1   0|2636M  123M 1824k 5043M|  37M   12k
21-03 14:04:39| 98   2   0   0   0|2634M  122M 1824k 5046M|  37M   28k
21-03 14:04:40| 97   2   0   0   0|2635M  125M 1824k 5042M|  37M   24k
21-03 14:04:41| 97   1   0   1   0|2635M  125M 1824k 5041M|  36M   28k
21-03 14:04:42| 98   2   1   0   0|2636M  124M 1824k 5041M|  37M   36k
21-03 14:04:43| 98   2   0   0   0|2633M  127M 1824k 5042M|  37M   12k
21-03 14:04:44| 97   1   1   1   0|2630M  123M 1824k 5050M|  36M   28k
21-03 14:04:45| 98   1   0   0   0|2630M  126M 1824k 5045M|  37M   48k
21-03 14:04:46| 96   1   1   1   0|2629M  136M 1820k 5037M|  36M   28k
21-03 14:04:47| 98   1   1   0   0|2629M  133M 1812k 5039M|  37M   13k
21-03 14:04:48| 98   2   1   0   0|2628M  122M 1808k 5053M|  37M   20k
21-03 14:04:49| 98   1   0   0   0|2626M  122M 1800k 5054M|  37M   40k
21-03 14:04:50| 97   2   1   0   0|2621M  122M 1792k 5059M|  37M    0 
21-03 14:04:51| 97   2   0   0   0|2622M  133M 1780k 5047M|  37M 4096B
21-03 14:04:52| 98   2   0   0   0|2624M  132M 1772k 5046M|  37M   56k
21-03 14:04:53| 98   2   0   0   0|2625M  125M 1764k 5051M|  37M    0 
21-03 14:04:54| 97   1   0   1   0|2626M  135M 1752k 5041M|  37M   12k
21-03 14:04:55| 98   1   1   0   0|2624M  133M 1744k 5046M|  37M   12k
21-03 14:04:56| 97   1   1   0   0|2623M  132M 1736k 5047M|  37M   17k
21-03 14:04:57| 98   2   0   0   0|2624M  126M 1728k 5053M|  37M   40k
21-03 14:04:58| 96   2   1   0   0|2624M  123M 1720k 5054M|  37M   24k
21-03 14:04:59| 97   1   1   1   0|2625M  121M 1712k 5056M|  37M 4094B
21-03 14:05:00| 98   2   0   0   0|2626M  121M 1704k 5055M|  37M 4098B
21-03 14:05:01| 96   1   1   2   0|2626M  133M 1692k 5044M|  36M   32k
21-03 14:05:02| 98   2   0   0   0|2627M  134M 1684k 5042M|  37M   40k
21-03 14:05:03| 98   1   1   0   0|2627M  127M 1676k 5048M|  38M   16k
21-03 14:05:04| 90   2   1   6   0|2628M  129M 1668k 5045M|  32M   26k
21-03 14:05:05| 98   2   1   1   0|2631M  121M 1660k 5050M|  38M   32k
21-03 14:05:06| 97   2   1   0   0|2633M  134M 1648k 5036M|  37M   12k
21-03 14:05:07| 99   2   0   0   0|2633M  127M 1640k 5041M|  38M    0 
21-03 14:05:08| 97   1   0   0   0|2637M  129M 1632k 5036M|  37M   76k
21-03 14:05:09| 99   1   0   0   0|2636M  124M 1624k 5042M|  38M    0 
21-03 14:05:10| 97   2   0   0   0|2635M  134M 1612k 5032M|  37M   20k
21-03 14:05:11| 97   2   1   1   0|2635M  133M 1604k 5034M|  37M   44k
21-03 14:05:12| 97   1   1   0   0|2635M  131M 1596k 5036M|  37M 4096B
21-03 14:05:13| 98   1   0   1   0|2635M  132M 1588k 5035M|  37M   16k
21-03 14:05:14| 88   2   1   9   0|2635M  132M 1580k 5035M|  35M   40k
21-03 14:05:15| 85   1   2  11   0|2636M  128M 1572k 5038M|  35M    0 
21-03 14:05:16| 98   2   1   0   0|2635M  124M 1564k 5043M|  37M   20k
21-03 14:05:17| 98   1   0   0   0|2634M  136M 1552k 5033M|  37M   28k
21-03 14:05:18| 97   2   0   1   0|2632M  136M 1544k 5034M|  37M   13k
21-03 14:05:19| 98   1   1   1   0|2630M  133M 1536k 5040M|  37M   32k
21-03 14:05:20| 98   1   0   0   0|2629M  135M 1528k 5038M|  37M   24k
21-03 14:05:21| 97   2   1   0   0|2628M  147M 1520k 5027M|  37M   20k
21-03 14:05:22| 98   1   0   0   0|2625M  132M 1516k 5045M|  37M   12k
21-03 14:05:23| 98   2   1   0   0|2625M  135M 1508k 5043M|  37M   24k
21-03 14:05:24| 97   2   0   0   0|2622M  132M 1500k 5048M|  37M 8192B
21-03 14:05:25| 98   1   0   0   0|2620M  129M 1492k 5053M|  37M   56k
21-03 14:05:26| 98   1   1   0   0|2620M  128M 1484k 5054M|  37M   29k
21-03 14:05:27| 97   1   0   1   0|2618M  133M 1476k 5051M|  37M   28k
21-03 14:05:28| 98   1   1   1   0|2618M  135M 1468k 5049M|  37M   20k
21-03 14:05:29| 98   1   0   0   0|2618M  135M 1460k 5049M|  37M   64k
21-03 14:05:30| 98   1   1   0   0|2617M  132M 1452k 5054M|  37M   20k
21-03 14:05:31| 97   2   1   2   0|2615M  134M 1444k 5054M|  36M    0 
21-03 14:05:32| 97   1   0   0   0|2612M  132M 1436k 5058M|  37M   24k
21-03 14:05:33| 98   2   0   0   0|2612M  129M 1428k 5062M|  37M   16k
21-03 14:05:34| 95   1   1   3   0|2610M  130M 1420k 5062M|  33M   53k
21-03 14:05:35| 98   2   0   0   0|2609M  128M 1412k 5065M|  38M    0 
21-03 14:05:36| 98   2   1   0   0|2608M  128M 1404k 5067M|  38M   28k
21-03 14:05:37| 96   2   1   1   0|2606M  125M 1396k 5071M|  36M   20k
21-03 14:05:38| 98   2   1   0   0|2605M  122M 1388k 5076M|  37M   40k
21-03 14:05:39| 97   1   0   1   0|2603M  121M 1380k 5078M|  37M   20k
21-03 14:05:40| 99   1   1   0   0|2603M  136M 1368k 5063M|  36M 8192B
21-03 14:05:41| 97   2   0   0   0|2601M  136M 1360k 5065M|  36M   24k
21-03 14:05:42| 97   1   1   0   0|2600M  134M 1356k 5069M|  36M   36k
21-03 14:05:43| 98   2   0   0   0|2599M  130M 1356k 5074M|  37M   20k
21-03 14:05:44| 98   1   0   0   0|2598M  133M 1356k 5072M|  37M   12k
21-03 14:05:45| 99   1   1   1   0|2598M  128M 1356k 5077M|  37M   28k
21-03 14:05:46| 97   1   1   0   0|2596M  129M 1356k 5078M|  36M   44k
21-03 14:05:47| 98   1   1   1   0|2593M  126M 1356k 5083M|  37M    0 
21-03 14:05:48| 97   2   0   0   0|2592M  124M 1356k 5087M|  36M 8192B
21-03 14:05:49| 98   1   0   0   0|2590M  127M 1356k 5086M|  37M   16k
21-03 14:05:50| 98   1   0   0   0|2587M  125M 1356k 5091M|  37M   17k
21-03 14:05:51| 98   2   0   0   0|2585M  122M 1356k 5096M|  37M   12k
21-03 14:05:52| 98   1   1   0   0|2582M  137M 1356k 5084M|  37M   12k
