----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
13-05 23:46:13| 99   0   0   0   0|2120M  208M 4388k 5404M|  15M 4096B
13-05 23:46:14| 98   1   1   0   0|2119M  196M 4388k 5418M|  13M    0 
13-05 23:46:15| 98   1   1   0   0|2120M  182M 4388k 5431M|  13M    0 
13-05 23:46:16| 98   1   1   0   0|2121M  169M 4388k 5443M|  12M    0 
13-05 23:46:17| 99   0   1   0   0|2121M  155M 4388k 5457M|  13M    0 
13-05 23:46:18| 98   1   1   0   0|2121M  142M 4388k 5470M|  13M    0 
13-05 23:46:19| 99   0   1   0   0|2120M  130M 4388k 5483M|  13M    0 
13-05 23:46:20| 98   1   1   0   0|2119M  132M 4388k 5486M|  13M  357k
13-05 23:46:21| 98   1   1   0   0|2114M  150M 4388k 5471M|  13M  138k
13-05 23:46:22| 98   0   1   0   0|2115M  135M 4388k 5486M|  15M    0 
13-05 23:46:23| 96   1   1   2   0|2114M  141M 4388k 5480M|  16M   31k
13-05 23:46:24| 99   0   1   0   0|2115M  140M 4388k 5481M|  16M   26k
13-05 23:46:25| 99   1   1   0   0|2115M  141M 4388k 5479M|  13M   28k
13-05 23:46:26| 98   1   1   0   0|2115M  129M 4388k 5492M|  14M    0 
13-05 23:46:27| 99   1   1   0   0|2114M  130M 4388k 5491M|  13M   20k
13-05 23:46:28| 99   0   0   0   0|2114M  131M 4388k 5490M|  14M   48k
13-05 23:46:29| 99   1   1   0   0|2114M  131M 4388k 5490M|  15M 3072B
13-05 23:46:30| 99   1   1   0   0|2114M  130M 4388k 5492M|  17M   60k
13-05 23:46:31| 98   0   1   0   0|2114M  144M 4388k 5478M|  16M  129k
13-05 23:46:32| 99   1   1   0   0|2114M  130M 4388k 5492M|  14M    0 
13-05 23:46:33| 99   1   1   0   0|2114M  148M 4388k 5475M|  13M  155k
13-05 23:46:34| 97   1   1   0   0|2114M  134M 4388k 5488M|  13M 5120B
13-05 23:46:35| 98   0   1   0   0|2114M  134M 4388k 5488M|  13M   22k
13-05 23:46:36| 98   1   1   0   0|2113M  123M 4388k 5500M|  14M 5120B
13-05 23:46:37| 99   0   1   0   0|2114M  126M 4388k 5497M|  13M   52k
13-05 23:46:38| 98   1   2   0   0|2113M  128M 4388k 5496M|  13M   84k
13-05 23:46:39| 98   1   1   0   0|2113M  261M 4388k 5363M|  13M   80k
13-05 23:46:40| 98   1   1   0   0|2114M  247M 4388k 5376M|  13M    0 
13-05 23:46:41| 98   1   1   0   0|2110M  235M 4388k 5388M|  16M    0 
13-05 23:46:42| 97   2   1   0   0|2127M  203M 4388k 5419M|  16M    0 
13-05 23:46:43| 98   1   0   0   0|2127M  188M 4388k 5434M|  14M 7907k
13-05 23:46:44| 99   1   1   0   0|2127M  175M 4388k 5447M|  13M 9216B
