"x"
"1" "house: 0"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"23.70833" 1461.99228747032 550.012054256145 2373.9725206845 375.300813880034 2548.68376106061
"23.75000" 1281.43471817894 369.454484964766 2193.41495139312 194.743244588655 2368.12619176923
"23.79167" 1002.72135744278 90.7411242286086 1914.70159065696 -83.9701161475028 2089.41283103307
"23.83333" 1243.4430966551 331.462863440929 2155.42332986928 156.751623064818 2330.13457024539
"x"
"1" "======"
"x"
"1" "house: 3"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"20.87500" 793.29558060906 169.764816795078 1416.82634442304 50.3128493169397 1536.27831190118
"20.91667" 1036.91233077021 293.531305733442 1780.29335580699 151.119204871889 1922.70545666854
"20.95833" 827.474236569029 39.0296434163654 1615.91882972169 -112.015442672897 1766.96391581096
"21.00000" 1012.49977451492 205.822527886147 1819.17702114368 51.284548652775 1973.71500037706
"21.04167" 651.904784524596 -162.33395068967 1466.14351973886 -318.320510716517 1622.13007976571
"21.08333" 504.495445829029 -312.908540903769 1321.89943256183 -469.501479225632 1478.49237088369
"21.12500" 641.895469461531 -176.838600557288 1460.62953948035 -333.686347582499 1617.47728650556
"21.16667" 489.558448238412 -329.735434758572 1308.8523312354 -486.69042711239 1465.80732358922
"21.20833" 500.491983353276 -319.037674541905 1320.02164124846 -476.037835116934 1477.02180182349
"21.25000" 711.100603283526 -108.528383199013 1530.72958976606 -265.547572498645 1687.7487790657
"21.29167" 635.489453636634 -184.181383508469 1455.16029078174 -341.208590285784 1612.18749755905
"21.33333" 1172.70647180547 353.018000611733 1992.39494299922 195.987415618094 2149.42552799286
"21.37500" 1255.27793387791 435.582032309818 2074.973835446 278.550023853399 2232.00584390242
"21.41667" 974.88138426893 155.182351778303 1794.58041675956 -1.8502564798888 1951.61302501775
"21.45833" 1234.31933005956 414.618978308167 2054.01968181096 257.586117314579 2211.05254280455
"21.50000" 1058.66992344482 238.969015837887 1878.37083105174 81.9360483571127 2035.40379853252
"21.54167" 1011.77832458861 192.077182862325 1831.4794663149 35.0441705304869 1988.51247864674
"21.58333" 1069.02257455653 249.321334421945 1888.72381469111 92.2883032376863 2045.75684587536
"21.62500" 974.280570604998 154.579289580595 1793.9818516294 -2.45374943707009 1951.01489064707
"21.66667" 1160.08352234961 340.382225463909 1979.7848192353 183.349183407641 2136.81786129157
"21.70833" 1057.75380514005 238.052504818645 1877.45510546145 81.0194621041857 2034.48814817591
"21.75000" 1016.20264866045 196.501354599036 1835.90394272187 39.4683130838245 1992.93698423708
