----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
09-06 19:44:34| 30   1  18  52   0|3067M  147M 4324k 4589M|  21M  160k
09-06 19:44:35| 29   0  17  53   0|3066M  127M 4324k 4610M|  22M    0 
09-06 19:44:36| 28   1  21  50   0|3066M  135M 4324k 4603M|  22M  100k
09-06 19:44:37| 28   0  26  44   0|3064M  144M 4324k 4595M|  22M   80k
09-06 19:44:38| 27   2  30  41   0|3062M  124M 4324k 4617M|  22M    0 
09-06 19:44:39| 28   1  26  45   0|3061M  148M 4324k 4595M|  22M  216k
09-06 19:44:40| 28   1  11  59   0|3059M  128M 4324k 4617M|  22M    0 
09-06 19:44:41| 29   1  24  46   0|3059M  136M 4320k 4609M|  22M   36k
09-06 19:44:42| 37   1  30  31   0|3058M  145M 4320k 4601M|  21M  100k
09-06 19:44:43| 27   0  43  29   0|3058M  124M 4320k 4622M|  21M    0 
09-06 19:44:44| 28   1  25  47   0|3055M  134M 4320k 4614M|  21M  140k
09-06 19:44:45| 31   1  20  49   0|3055M  144M 4320k 4605M|  20M   68k
09-06 19:44:46| 28   1  26  46   0|3054M  123M 4320k 4626M|  21M    0 
09-06 19:44:47| 28   1  31  39   0|3053M  132M 4320k 4618M|  21M  124k
09-06 19:44:48| 27   1  22  50   0|3053M  141M 4320k 4610M|  21M   36k
09-06 19:44:49| 28   1  33  37   0|3053M  126M 4320k 4625M|  21M   24k
09-06 19:44:50| 27   1  11  61   0|3051M  124M 4320k 4629M|  21M   72k
09-06 19:44:51| 27   1  13  58   0|3051M  123M 4320k 4630M|  21M   72k
09-06 19:44:52| 26   1  26  47   0|3051M  122M 4320k 4631M|  21M   88k
09-06 19:44:53| 27   1  20  52   0|3050M  123M 4320k 4631M|  21M   72k
09-06 19:44:54| 27   1  17  56   0|3051M  127M 4320k 4626M|  21M   93k
09-06 19:44:55| 27   1  45  27   0|3050M  126M 4320k 4627M|  22M  133k
09-06 19:44:56| 36   1  26  36   0|3052M  126M 4320k 4625M|  18M   63k
09-06 19:44:57| 38   1  14  47   0|3048M  124M 4320k 4631M|  26M   88k
09-06 19:44:58| 32   1  19  49   0|3049M  124M 4320k 4630M|  22M   72k
09-06 19:44:59| 29   1  23  47   0|3050M  122M 4320k 4632M|  22M   96k
09-06 19:45:00| 29   1  13  57   0|2946M  227M 4320k 4631M|  22M   65k
09-06 19:45:01| 32   1  13  55   0|2944M  209M 4320k 4651M|  20M    0 
09-06 19:45:02| 33   1  18  47   0|2944M  187M 4320k 4673M|  22M    0 
09-06 19:45:03| 30   1  17  53   0|2943M  165M 4320k 4695M|  22M    0 
09-06 19:45:04| 29   0  17  52   0|2943M  144M 4320k 4717M|  22M   92k
09-06 19:45:05| 29   0  14  56   0|2942M  123M 4320k 4739M|  22M    0 
09-06 19:45:06| 29   1  23  48   0|2942M  123M 4320k 4739M|  22M   88k
09-06 19:45:07| 27   1  18  53   0|2941M  122M 4320k 4740M|  22M   44k
09-06 19:45:08| 30   1  17  53   0|2942M  127M 4320k 4734M|  22M   88k
09-06 19:45:09| 28   1  22  49   0|2939M  122M 4320k 4743M|  22M  152k
09-06 19:45:10| 27   0  17  55   0|2940M  123M 4320k 4741M|  22M   44k
09-06 19:45:11| 28   0  24  47   0|2938M  124M 4320k 4742M|  22M   76k
